anio,obra_civil_eur,altas_abast_eur,altas_mayorista_eur,equipos_acceso_eur,infra_agregacio_eur,contingencia_eur,total_eur
1,50000000,70080000,22943,1210000,24725200,7301907,153340050
2,49900000,12040000,18480,1183600,0,3157104,66299184
3,44700000,9560000,35385,1059900,0,2767764,58123049
4,49900000,4120000,42210,731300,0,2739676,57533186
5,50000000,3240000,54075,744100,0,2701909,56740084
6,50000000,960000,47355,326400,0,2566688,53900443
7,50000000,0,52605,0,0,2502630,52555235
8,50000000,0,61635,0,0,2503082,52564717
9,50000000,0,21000,0,0,2501050,52522050
10,38000000,0,15960,0,0,1900798,39916758
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
