orden_despliegue,codigo,municipio,criterio_valor,anio_objetivo_despliegue
1,900,A900,1062027999.9999999,1
2,899,A899,529399999.99999994,1
3,898,A898,264699999.99999997,1
4,897,A897,159120000.0,1
5,896,A896,91320000.0,1
6,895,A895,60960000.0,1
7,891,A891,45720000.0,1
8,892,A892,45720000.0,1
9,893,A893,45720000.0,1
10,894,A894,45720000.0,1
11,886,A886,36588000.0,1
12,887,A887,36588000.0,1
13,888,A888,36588000.0,1
14,889,A889,36588000.0,1
15,890,A890,36588000.0,1
16,864,A864,29136000.0,1
17,865,A865,29136000.0,1
18,866,A866,29136000.0,1
19,867,A867,29136000.0,1
20,868,A868,29136000.0,1
21,869,A869,29136000.0,1
22,870,A870,29136000.0,1
23,871,A871,29136000.0,1
24,872,A872,29136000.0,1
25,873,A873,29136000.0,1
26,874,A874,29136000.0,1
27,875,A875,29136000.0,1
28,876,A876,29136000.0,1
29,877,A877,29136000.0,1
30,878,A878,29136000.0,1
31,879,A879,29136000.0,1
32,880,A880,29136000.0,1
33,881,A881,29136000.0,1
34,882,A882,29136000.0,1
35,883,A883,29136000.0,1
36,884,A884,29136000.0,1
37,885,A885,29136000.0,1
38,835,A835,18240000.0,1
39,836,A836,18240000.0,1
40,837,A837,18240000.0,1
41,838,A838,18240000.0,1
42,839,A839,18240000.0,1
43,840,A840,18240000.0,1
44,841,A841,18240000.0,1
45,842,A842,18240000.0,1
46,843,A843,18240000.0,1
47,844,A844,18240000.0,1
48,845,A845,18240000.0,1
49,846,A846,18240000.0,1
50,847,A847,18240000.0,1
51,848,A848,18240000.0,1
52,849,A849,18240000.0,1
53,850,A850,18240000.0,1
54,851,A851,18240000.0,1
55,852,A852,18240000.0,1
56,853,A853,18240000.0,1
57,854,A854,18240000.0,1
58,855,A855,18240000.0,1
59,856,A856,18240000.0,1
60,857,A857,18240000.0,1
61,858,A858,18240000.0,1
62,859,A859,18240000.0,1
63,860,A860,18240000.0,1
64,861,A861,18240000.0,1
65,862,A862,18240000.0,1
66,863,A863,18240000.0,1
67,800,A800,13896000.0,1
68,801,A801,13896000.0,1
69,802,A802,13896000.0,1
70,803,A803,13896000.0,1
71,804,A804,13896000.0,1
72,805,A805,13896000.0,1
73,806,A806,13896000.0,1
74,807,A807,13896000.0,1
75,808,A808,13896000.0,1
76,809,A809,13896000.0,1
77,810,A810,13896000.0,1
78,811,A811,13896000.0,1
79,812,A812,13896000.0,1
80,813,A813,13896000.0,1
81,814,A814,13896000.0,1
82,815,A815,13896000.0,1
83,816,A816,13896000.0,1
84,817,A817,13896000.0,1
85,818,A818,13896000.0,1
86,819,A819,13896000.0,1
87,820,A820,13896000.0,1
88,821,A821,13896000.0,1
89,822,A822,13896000.0,1
90,823,A823,13896000.0,1
91,824,A824,13896000.0,1
92,825,A825,13896000.0,1
93,826,A826,13896000.0,1
94,827,A827,13896000.0,1
95,828,A828,13896000.0,1
96,829,A829,13896000.0,1
97,830,A830,13896000.0,1
98,831,A831,13896000.0,1
99,832,A832,13896000.0,1
100,833,A833,13896000.0,1
101,834,A834,13896000.0,1
102,750,A750,9280000.0,1
103,751,A751,9280000.0,1
104,752,A752,9280000.0,1
105,753,A753,9280000.0,1
106,754,A754,9280000.0,1
107,755,A755,9280000.0,1
108,756,A756,9280000.0,1
109,757,A757,9280000.0,1
110,758,A758,9280000.0,1
111,759,A759,9280000.0,1
112,760,A760,9280000.0,1
113,761,A761,9280000.0,1
114,762,A762,9280000.0,1
115,763,A763,9280000.0,1
116,764,A764,9280000.0,1
117,765,A765,9280000.0,1
118,766,A766,9280000.0,1
119,767,A767,9280000.0,1
120,768,A768,9280000.0,1
121,769,A769,9280000.0,1
122,770,A770,9280000.0,1
123,771,A771,9280000.0,1
124,772,A772,9280000.0,1
125,773,A773,9280000.0,1
126,774,A774,9280000.0,1
127,775,A775,9280000.0,1
128,776,A776,9280000.0,1
129,777,A777,9280000.0,1
130,778,A778,9280000.0,1
131,779,A779,9280000.0,1
132,780,A780,9280000.0,1
133,781,A781,9280000.0,1
134,782,A782,9280000.0,1
135,783,A783,9280000.0,1
136,784,A784,9280000.0,1
137,785,A785,9280000.0,1
138,786,A786,9280000.0,1
139,787,A787,9280000.0,1
140,788,A788,9280000.0,1
141,789,A789,9280000.0,1
142,790,A790,9280000.0,1
143,791,A791,9280000.0,1
144,792,A792,9280000.0,1
145,793,A793,9280000.0,1
146,794,A794,9280000.0,1
147,795,A795,9280000.0,1
148,796,A796,9280000.0,1
149,797,A797,9280000.0,1
150,798,A798,9280000.0,1
151,799,A799,9280000.0,1
152,601,A601,6624000.0,1
153,602,A602,6624000.0,1
154,603,A603,6624000.0,1
155,604,A604,6624000.0,1
156,605,A605,6624000.0,1
157,606,A606,6624000.0,1
158,607,A607,6624000.0,1
159,608,A608,6624000.0,1
160,609,A609,6624000.0,1
161,610,A610,6624000.0,1
162,611,A611,6624000.0,1
163,612,A612,6624000.0,1
164,613,A613,6624000.0,1
165,614,A614,6624000.0,1
166,615,A615,6624000.0,1
167,616,A616,6624000.0,1
168,617,A617,6624000.0,1
169,618,A618,6624000.0,1
170,619,A619,6624000.0,1
171,620,A620,6624000.0,1
172,621,A621,6624000.0,1
173,622,A622,6624000.0,1
174,623,A623,6624000.0,1
175,624,A624,6624000.0,1
176,625,A625,6624000.0,1
177,626,A626,6624000.0,1
178,627,A627,6624000.0,1
179,628,A628,6624000.0,1
180,629,A629,6624000.0,1
181,630,A630,6624000.0,1
182,631,A631,6624000.0,1
183,632,A632,6624000.0,1
184,633,A633,6624000.0,1
185,634,A634,6624000.0,1
186,635,A635,6624000.0,1
187,636,A636,6624000.0,1
188,637,A637,6624000.0,1
189,638,A638,6624000.0,1
190,639,A639,6624000.0,1
191,640,A640,6624000.0,1
192,641,A641,6624000.0,1
193,642,A642,6624000.0,1
194,643,A643,6624000.0,1
195,644,A644,6624000.0,1
196,645,A645,6624000.0,1
197,646,A646,6624000.0,1
198,647,A647,6624000.0,1
199,648,A648,6624000.0,1
200,649,A649,6624000.0,1
201,650,A650,6624000.0,1
202,651,A651,6624000.0,1
203,652,A652,6624000.0,1
204,653,A653,6624000.0,1
205,654,A654,6624000.0,1
206,655,A655,6624000.0,1
207,656,A656,6624000.0,1
208,657,A657,6624000.0,1
209,658,A658,6624000.0,1
210,659,A659,6624000.0,1
211,660,A660,6624000.0,1
212,661,A661,6624000.0,1
213,662,A662,6624000.0,1
214,663,A663,6624000.0,1
215,664,A664,6624000.0,1
216,665,A665,6624000.0,1
217,666,A666,6624000.0,1
218,667,A667,6624000.0,1
219,668,A668,6624000.0,1
220,669,A669,6624000.0,1
221,670,A670,6624000.0,1
222,671,A671,6624000.0,1
223,672,A672,6624000.0,1
224,673,A673,6624000.0,1
225,674,A674,6624000.0,1
226,675,A675,6624000.0,1
227,676,A676,6624000.0,1
228,677,A677,6624000.0,1
229,678,A678,6624000.0,1
230,679,A679,6624000.0,1
231,680,A680,6624000.0,1
232,681,A681,6624000.0,1
233,682,A682,6624000.0,1
234,683,A683,6624000.0,1
235,684,A684,6624000.0,1
236,685,A685,6624000.0,1
237,686,A686,6624000.0,1
238,687,A687,6624000.0,1
239,688,A688,6624000.0,1
240,689,A689,6624000.0,1
241,690,A690,6624000.0,1
242,691,A691,6624000.0,1
243,692,A692,6624000.0,1
244,693,A693,6624000.0,1
245,694,A694,6624000.0,1
246,695,A695,6624000.0,1
247,696,A696,6624000.0,1
248,697,A697,6624000.0,1
249,698,A698,6624000.0,1
250,699,A699,6624000.0,1
251,700,A700,6624000.0,1
252,701,A701,6624000.0,1
253,702,A702,6624000.0,1
254,703,A703,6624000.0,1
255,704,A704,6624000.0,1
256,705,A705,6624000.0,1
257,706,A706,6624000.0,1
258,707,A707,6624000.0,1
259,708,A708,6624000.0,1
260,709,A709,6624000.0,1
261,710,A710,6624000.0,1
262,711,A711,6624000.0,1
263,712,A712,6624000.0,1
264,713,A713,6624000.0,1
265,714,A714,6624000.0,1
266,715,A715,6624000.0,1
267,716,A716,6624000.0,1
268,717,A717,6624000.0,1
269,718,A718,6624000.0,1
270,719,A719,6624000.0,1
271,720,A720,6624000.0,1
272,721,A721,6624000.0,1
273,722,A722,6624000.0,1
274,723,A723,6624000.0,1
275,724,A724,6624000.0,1
276,725,A725,6624000.0,1
277,726,A726,6624000.0,1
278,727,A727,6624000.0,1
279,728,A728,6624000.0,1
280,729,A729,6624000.0,1
281,730,A730,6624000.0,1
282,731,A731,6624000.0,1
283,732,A732,6624000.0,1
284,733,A733,6624000.0,1
285,734,A734,6624000.0,1
286,735,A735,6624000.0,1
287,736,A736,6624000.0,1
288,737,A737,6624000.0,1
289,738,A738,6624000.0,1
290,739,A739,6624000.0,1
291,740,A740,6624000.0,1
292,741,A741,6624000.0,1
293,742,A742,6624000.0,1
294,743,A743,6624000.0,1
295,744,A744,6624000.0,1
296,745,A745,6624000.0,1
