anio,mant_fibra_eur,mant_equipos_eur,mant_si_eur,opex_local_tecnic_eur,opex_datacenter_eur,rrhh_eur,gastos_generales_eur,derechos_paso_eur,costes_ventas_mayo_eur,total_eur
1,125000,2593520,129676,365000,500000,1300000,700000,1265983,15142,6994321
2,254745,2766118,138306,392904,510000,1479000,714000,1488657,34989,7778718
3,376105,2931712,146586,430101,520200,1716660,728280,1669720,64933,8584297
4,516012,3067952,153398,460564,530604,1857114,742846,1753707,97691,9179888
5,661637,3209855,160493,492940,541216,2056621,757703,1823999,137597,9842060
6,812879,3310089,165504,513839,552040,2208162,772857,1851565,171882,10358818
7,969907,3376291,168815,535378,563081,2421249,788314,1863091,210303,10896429
8,1132891,3443817,172191,559640,574343,2584543,804080,1876248,254160,11401912
9,1302006,3512693,175635,582549,585830,2811983,820162,1878105,260350,11929312
10,1441580,3582947,179147,603283,597546,2987731,836565,1880635,268783,12378218
11,1470412,3654606,182730,615348,609497,3047486,853296,1880156,267187,12580720
12,1499820,3727698,186385,627655,621687,3108436,870362,1880156,267187,12789387
13,1529817,3802252,190113,640208,634121,3170604,887769,1880156,267187,13002228
14,1560413,3878297,193915,653013,646803,3234017,905525,1880156,267187,13219326
15,1591621,3955863,197793,666073,659739,3298697,923635,1880156,267187,13440765
16,1623454,4034981,201749,679394,672934,3364671,942108,1880156,267187,13666634
17,1655923,4115680,205784,692982,686393,3431964,960950,1880156,267187,13897020
18,1689041,4197994,209900,706842,700121,3500604,980169,1880156,267187,14132013
19,1722822,4281954,214098,720979,714123,3570616,999772,1880156,267187,14371707
20,1757278,4367593,218380,735398,728406,3642028,1019768,1880156,267187,14616194
