anio,ingresos_eur,opex_eur,ebitda_eur,capex_eur,amortizacion_eur,ebit_eur,resultado_neto_eur,fcl_eur,fcl_acumulado_eur
1,42199420,6994321,35205099,153340050,10222670,24982429,18736822,-118134951,-118134951
2,49621892,7778718,41843174,66299184,14642616,27200558,20400419,-24456010,-142590961
3,55657330,8584297,47073033,58123049,18517486,28555547,21416661,-11050016,-153640977
4,58456910,9179888,49277022,57533186,22353031,26923991,20192993,-8256164,-161897141
5,60799972,9842060,50957912,56740084,26135704,24822208,18616656,-5782172,-167679313
6,61718818,10358818,51360000,53900443,29729066,21630934,16223200,-2540443,-170219756
7,62103034,10896429,51206605,52555235,33232749,17973856,13480392,-1348630,-171568386
8,62541598,11401912,51139686,52564717,36737063,14402623,10801967,-1425031,-172993417
9,62603496,11929312,50674184,52522050,40238533,10435651,7826738,-1847866,-174841283
10,62687832,12378218,50309614,39916758,42899650,7409964,5557473,10392856,-164448427
11,62671872,12580720,50091152,0,42899650,7191502,5393626,50091152,-114357275
12,62671872,12789387,49882485,0,42899650,6982835,5237126,49882485,-64474790
13,62671872,13002228,49669644,0,42899650,6769994,5077495,49669644,-14805146
14,62671872,13219326,49452546,0,42899650,6552896,4914672,49452546,34647400
15,62671872,13440765,49231107,0,42899650,6331457,4748592,49231107,83878507
16,62671872,13666634,49005238,0,42899650,6105588,4579191,49005238,132883745
17,62671872,13897020,48774852,0,42899650,5875202,4406401,48774852,181658597
18,62671872,14132013,48539859,0,42899650,5640209,4230156,48539859,230198456
19,62671872,14371707,48300165,0,42899650,5400515,4050386,48300165,278498621
20,62671872,14616194,48055678,0,42899650,5156028,3867021,48055678,326554299
