codigo,n_pymes_estimadas,clientes_pyme,bw_pyme_mbps
1,1.0,0.4,24.0
2,1.0,0.4,24.0
3,1.0,0.4,24.0
4,1.0,0.4,24.0
5,1.0,0.4,24.0
6,1.0,0.4,24.0
7,1.0,0.4,24.0
8,1.0,0.4,24.0
9,1.0,0.4,24.0
10,1.0,0.4,24.0
11,1.0,0.4,24.0
12,1.0,0.4,24.0
13,1.0,0.4,24.0
14,1.0,0.4,24.0
15,1.0,0.4,24.0
16,1.0,0.4,24.0
17,1.0,0.4,24.0
18,1.0,0.4,24.0
19,1.0,0.4,24.0
20,1.0,0.4,24.0
21,1.0,0.4,24.0
22,1.0,0.4,24.0
23,1.0,0.4,24.0
24,1.0,0.4,24.0
25,1.0,0.4,24.0
26,1.0,0.4,24.0
27,1.0,0.4,24.0
28,1.0,0.4,24.0
29,1.0,0.4,24.0
30,1.0,0.4,24.0
31,1.0,0.4,24.0
32,1.0,0.4,24.0
33,1.0,0.4,24.0
34,1.0,0.4,24.0
35,1.0,0.4,24.0
36,1.0,0.4,24.0
37,1.0,0.4,24.0
38,1.0,0.4,24.0
39,1.0,0.4,24.0
40,1.0,0.4,24.0
41,1.0,0.4,24.0
42,1.0,0.4,24.0
43,1.0,0.4,24.0
44,1.0,0.4,24.0
45,1.0,0.4,24.0
46,1.0,0.4,24.0
47,1.0,0.4,24.0
48,1.0,0.4,24.0
49,1.0,0.4,24.0
50,1.0,0.4,24.0
51,1.0,0.4,24.0
52,1.0,0.4,24.0
53,1.0,0.4,24.0
54,1.0,0.4,24.0
55,1.0,0.4,24.0
56,1.0,0.4,24.0
57,1.0,0.4,24.0
58,1.0,0.4,24.0
59,1.0,0.4,24.0
60,1.0,0.4,24.0
61,1.0,0.4,24.0
62,1.0,0.4,24.0
63,1.0,0.4,24.0
64,1.0,0.4,24.0
65,1.0,0.4,24.0
66,1.0,0.4,24.0
67,1.0,0.4,24.0
68,1.0,0.4,24.0
69,1.0,0.4,24.0
70,1.0,0.4,24.0
71,1.0,0.4,24.0
72,1.0,0.4,24.0
73,1.0,0.4,24.0
74,1.0,0.4,24.0
75,1.0,0.4,24.0
76,1.0,0.4,24.0
77,1.0,0.4,24.0
78,1.0,0.4,24.0
79,1.0,0.4,24.0
80,1.0,0.4,24.0
81,1.0,0.4,24.0
82,1.0,0.4,24.0
83,1.0,0.4,24.0
84,1.0,0.4,24.0
85,1.0,0.4,24.0
86,1.0,0.4,24.0
87,1.0,0.4,24.0
88,1.0,0.4,24.0
89,1.0,0.4,24.0
90,1.0,0.4,24.0
91,1.0,0.4,24.0
92,1.0,0.4,24.0
93,1.0,0.4,24.0
94,1.0,0.4,24.0
95,1.0,0.4,24.0
96,1.0,0.4,24.0
97,1.0,0.4,24.0
98,1.0,0.4,24.0
99,1.0,0.4,24.0
100,1.0,0.4,24.0
101,2.0,0.8,48.0
102,2.0,0.8,48.0
103,2.0,0.8,48.0
104,2.0,0.8,48.0
105,2.0,0.8,48.0
106,2.0,0.8,48.0
107,2.0,0.8,48.0
108,2.0,0.8,48.0
109,2.0,0.8,48.0
110,2.0,0.8,48.0
111,2.0,0.8,48.0
112,2.0,0.8,48.0
113,2.0,0.8,48.0
114,2.0,0.8,48.0
115,2.0,0.8,48.0
116,2.0,0.8,48.0
117,2.0,0.8,48.0
118,2.0,0.8,48.0
119,2.0,0.8,48.0
120,2.0,0.8,48.0
121,2.0,0.8,48.0
122,2.0,0.8,48.0
123,2.0,0.8,48.0
124,2.0,0.8,48.0
125,2.0,0.8,48.0
126,2.0,0.8,48.0
127,2.0,0.8,48.0
128,2.0,0.8,48.0
129,2.0,0.8,48.0
130,2.0,0.8,48.0
131,2.0,0.8,48.0
132,2.0,0.8,48.0
133,2.0,0.8,48.0
134,2.0,0.8,48.0
135,2.0,0.8,48.0
136,2.0,0.8,48.0
137,2.0,0.8,48.0
138,2.0,0.8,48.0
139,2.0,0.8,48.0
140,2.0,0.8,48.0
141,2.0,0.8,48.0
142,2.0,0.8,48.0
143,2.0,0.8,48.0
144,2.0,0.8,48.0
145,2.0,0.8,48.0
146,2.0,0.8,48.0
147,2.0,0.8,48.0
148,2.0,0.8,48.0
149,2.0,0.8,48.0
150,2.0,0.8,48.0
151,2.0,0.8,48.0
152,2.0,0.8,48.0
153,2.0,0.8,48.0
154,2.0,0.8,48.0
155,2.0,0.8,48.0
156,2.0,0.8,48.0
157,2.0,0.8,48.0
158,2.0,0.8,48.0
159,2.0,0.8,48.0
160,2.0,0.8,48.0
161,2.0,0.8,48.0
162,2.0,0.8,48.0
163,2.0,0.8,48.0
164,2.0,0.8,48.0
165,2.0,0.8,48.0
166,2.0,0.8,48.0
167,2.0,0.8,48.0
168,2.0,0.8,48.0
169,2.0,0.8,48.0
170,2.0,0.8,48.0
171,2.0,0.8,48.0
172,2.0,0.8,48.0
173,2.0,0.8,48.0
174,2.0,0.8,48.0
175,2.0,0.8,48.0
176,2.0,0.8,48.0
177,2.0,0.8,48.0
178,2.0,0.8,48.0
179,2.0,0.8,48.0
