anio,sedes_abast_activas,sedes_mayorista_activas,ingresos_abast_eur,ingresos_mayo_alta_eur,ingresos_mayo_rec_eur,total_eur
1,3504,15.29,42048000,22943,128478,42199420
2,4106,37.66,49272000,33548,316344,49621892
3,4584,71.3,55008000,50453,598878,55657330
4,4790,109.48,57480000,57277,919632,58456910
5,4952,155.57,59424000,69142,1306830,60799972
6,5000,197.19,60000000,62422,1656396,61718818
7,5000,242.31,60000000,67672,2035362,62103034
8,5000,293.44,60000000,76702,2464896,62541598
9,5000,307.44,60000000,21000,2582496,62603496
10,5000,318.08,60000000,15960,2671872,62687832
11,5000,318.08,60000000,0,2671872,62671872
12,5000,318.08,60000000,0,2671872,62671872
13,5000,318.08,60000000,0,2671872,62671872
14,5000,318.08,60000000,0,2671872,62671872
15,5000,318.08,60000000,0,2671872,62671872
16,5000,318.08,60000000,0,2671872,62671872
17,5000,318.08,60000000,0,2671872,62671872
18,5000,318.08,60000000,0,2671872,62671872
19,5000,318.08,60000000,0,2671872,62671872
20,5000,318.08,60000000,0,2671872,62671872
