anillo,tipo,bw_abast_gbps,bw_mayorista_gbps,bw_total_gbps,n_multiplexors,capex_optic_anell,lambdes_necessaries,lambdes_totals,lambdes_lliures
A1,agregacion,101.4,1422.4,1523.8,5,600000.0,153,200,47
A2,agregacion,222.0,1075.7,1297.7,5,600000.0,130,200,70
A3,agregacion,40.2,705.6,745.8,3,360000.0,75,120,45
A4,agregacion,27.7,425.6,453.3,2,240000.0,46,80,34
A5,agregacion,25.2,313.6,338.8,2,240000.0,34,80,46
A6,agregacion,18.2,196.0,214.2,1,120000.0,22,40,18
A7,agregacion,14.8,151.2,166.0,1,120000.0,17,40,23
A8,agregacion,13.0,131.6,144.6,1,120000.0,15,40,25
A9,agregacion,13.5,137.2,150.7,1,120000.0,16,40,24
A10,agregacion,15.0,154.0,169.0,1,120000.0,17,40,23
A11,agregacion,9.0,98.0,107.0,1,120000.0,11,40,29
T1,troncal,64.2,957.6,1021.8,4,480000.0,103,160,57
T2,troncal,54.2,694.4,748.6,3,360000.0,75,120,45
T3,troncal,58.2,660.8,719.0,3,360000.0,72,120,48
