anio,obra_civil_eur,altas_abast_eur,altas_mayorista_eur,equipos_acceso_eur,infra_agregacio_eur,contingencia_eur,total_eur
1,50000000,70080000,46431,1210000,25166200,7325132,153827763
2,49900000,12040000,37400,1183600,0,3158050,66319050
3,44700000,9560000,71612,1059900,0,2769576,58161088
4,49900000,4120000,85425,731300,0,2741836,57578561
5,50000000,3240000,109438,744100,0,2704677,56798214
6,50000000,960000,95837,326400,0,2569112,53951349
7,50000000,0,31875,0,0,2501594,52533469
8,50000000,0,37613,0,0,2501881,52539493
9,50000000,0,31875,0,0,2501594,52533469
10,38000000,0,24225,0,0,1901211,39925436
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
