orden_despliegue,codigo,municipio,criterio_valor,anio_objetivo_despliegue
1,900,A900,1230027999.9999998,1
2,899,A899,613399999.9999999,1
3,898,A898,306699999.99999994,1
4,897,A897,184320000.0,1
5,896,A896,106440000.0,1
6,895,A895,71040000.0,1
7,891,A891,53280000.0,1
8,892,A892,53280000.0,1
9,893,A893,53280000.0,1
10,894,A894,53280000.0,1
11,886,A886,42636000.0,1
12,887,A887,42636000.0,1
13,888,A888,42636000.0,1
14,889,A889,42636000.0,1
15,890,A890,42636000.0,1
16,864,A864,34176000.0,1
17,865,A865,34176000.0,1
18,866,A866,34176000.0,1
19,867,A867,34176000.0,1
20,868,A868,34176000.0,1
21,869,A869,34176000.0,1
22,870,A870,34176000.0,1
23,871,A871,34176000.0,1
24,872,A872,34176000.0,1
25,873,A873,34176000.0,1
26,874,A874,34176000.0,1
27,875,A875,34176000.0,1
28,876,A876,34176000.0,1
29,877,A877,34176000.0,1
30,878,A878,34176000.0,1
31,879,A879,34176000.0,1
32,880,A880,34176000.0,1
33,881,A881,34176000.0,1
34,882,A882,34176000.0,1
35,883,A883,34176000.0,1
36,884,A884,34176000.0,1
37,885,A885,34176000.0,1
38,835,A835,21390000.0,1
39,836,A836,21390000.0,1
40,837,A837,21390000.0,1
41,838,A838,21390000.0,1
42,839,A839,21390000.0,1
43,840,A840,21390000.0,1
44,841,A841,21390000.0,1
45,842,A842,21390000.0,1
46,843,A843,21390000.0,1
47,844,A844,21390000.0,1
48,845,A845,21390000.0,1
49,846,A846,21390000.0,1
50,847,A847,21390000.0,1
51,848,A848,21390000.0,1
52,849,A849,21390000.0,1
53,850,A850,21390000.0,1
54,851,A851,21390000.0,1
55,852,A852,21390000.0,1
56,853,A853,21390000.0,1
57,854,A854,21390000.0,1
58,855,A855,21390000.0,1
59,856,A856,21390000.0,1
60,857,A857,21390000.0,1
61,858,A858,21390000.0,1
62,859,A859,21390000.0,1
63,860,A860,21390000.0,1
64,861,A861,21390000.0,1
65,862,A862,21390000.0,1
66,863,A863,21390000.0,1
67,800,A800,16416000.0,1
68,801,A801,16416000.0,1
69,802,A802,16416000.0,1
70,803,A803,16416000.0,1
71,804,A804,16416000.0,1
72,805,A805,16416000.0,1
73,806,A806,16416000.0,1
74,807,A807,16416000.0,1
75,808,A808,16416000.0,1
76,809,A809,16416000.0,1
77,810,A810,16416000.0,1
78,811,A811,16416000.0,1
79,812,A812,16416000.0,1
80,813,A813,16416000.0,1
81,814,A814,16416000.0,1
82,815,A815,16416000.0,1
83,816,A816,16416000.0,1
84,817,A817,16416000.0,1
85,818,A818,16416000.0,1
86,819,A819,16416000.0,1
87,820,A820,16416000.0,1
88,821,A821,16416000.0,1
89,822,A822,16416000.0,1
90,823,A823,16416000.0,1
91,824,A824,16416000.0,1
92,825,A825,16416000.0,1
93,826,A826,16416000.0,1
94,827,A827,16416000.0,1
95,828,A828,16416000.0,1
96,829,A829,16416000.0,1
97,830,A830,16416000.0,1
98,831,A831,16416000.0,1
99,832,A832,16416000.0,1
100,833,A833,16416000.0,1
101,834,A834,16416000.0,1
102,750,A750,10960000.0,1
103,751,A751,10960000.0,1
104,752,A752,10960000.0,1
105,753,A753,10960000.0,1
106,754,A754,10960000.0,1
107,755,A755,10960000.0,1
108,756,A756,10960000.0,1
109,757,A757,10960000.0,1
110,758,A758,10960000.0,1
111,759,A759,10960000.0,1
112,760,A760,10960000.0,1
113,761,A761,10960000.0,1
114,762,A762,10960000.0,1
115,763,A763,10960000.0,1
116,764,A764,10960000.0,1
117,765,A765,10960000.0,1
118,766,A766,10960000.0,1
119,767,A767,10960000.0,1
120,768,A768,10960000.0,1
121,769,A769,10960000.0,1
122,770,A770,10960000.0,1
123,771,A771,10960000.0,1
124,772,A772,10960000.0,1
125,773,A773,10960000.0,1
126,774,A774,10960000.0,1
127,775,A775,10960000.0,1
128,776,A776,10960000.0,1
129,777,A777,10960000.0,1
130,778,A778,10960000.0,1
131,779,A779,10960000.0,1
132,780,A780,10960000.0,1
133,781,A781,10960000.0,1
134,782,A782,10960000.0,1
135,783,A783,10960000.0,1
136,784,A784,10960000.0,1
137,785,A785,10960000.0,1
138,786,A786,10960000.0,1
139,787,A787,10960000.0,1
140,788,A788,10960000.0,1
141,789,A789,10960000.0,1
142,790,A790,10960000.0,1
143,791,A791,10960000.0,1
144,792,A792,10960000.0,1
145,793,A793,10960000.0,1
146,794,A794,10960000.0,1
147,795,A795,10960000.0,1
148,796,A796,10960000.0,1
149,797,A797,10960000.0,1
150,798,A798,10960000.0,1
151,799,A799,10960000.0,1
152,601,A601,7884000.0,1
153,602,A602,7884000.0,1
154,603,A603,7884000.0,1
155,604,A604,7884000.0,1
156,605,A605,7884000.0,1
157,606,A606,7884000.0,1
158,607,A607,7884000.0,1
159,608,A608,7884000.0,1
160,609,A609,7884000.0,1
161,610,A610,7884000.0,1
162,611,A611,7884000.0,1
163,612,A612,7884000.0,1
164,613,A613,7884000.0,1
165,614,A614,7884000.0,1
166,615,A615,7884000.0,1
167,616,A616,7884000.0,1
168,617,A617,7884000.0,1
169,618,A618,7884000.0,1
170,619,A619,7884000.0,1
171,620,A620,7884000.0,1
172,621,A621,7884000.0,1
173,622,A622,7884000.0,1
174,623,A623,7884000.0,1
175,624,A624,7884000.0,1
176,625,A625,7884000.0,1
177,626,A626,7884000.0,1
178,627,A627,7884000.0,1
179,628,A628,7884000.0,1
180,629,A629,7884000.0,1
181,630,A630,7884000.0,1
182,631,A631,7884000.0,1
183,632,A632,7884000.0,1
184,633,A633,7884000.0,1
185,634,A634,7884000.0,1
186,635,A635,7884000.0,1
187,636,A636,7884000.0,1
188,637,A637,7884000.0,1
189,638,A638,7884000.0,1
190,639,A639,7884000.0,1
191,640,A640,7884000.0,1
192,641,A641,7884000.0,1
193,642,A642,7884000.0,1
194,643,A643,7884000.0,1
195,644,A644,7884000.0,1
196,645,A645,7884000.0,1
197,646,A646,7884000.0,1
198,647,A647,7884000.0,1
199,648,A648,7884000.0,1
200,649,A649,7884000.0,1
201,650,A650,7884000.0,1
202,651,A651,7884000.0,1
203,652,A652,7884000.0,1
204,653,A653,7884000.0,1
205,654,A654,7884000.0,1
206,655,A655,7884000.0,1
207,656,A656,7884000.0,1
208,657,A657,7884000.0,1
209,658,A658,7884000.0,1
210,659,A659,7884000.0,1
211,660,A660,7884000.0,1
212,661,A661,7884000.0,1
213,662,A662,7884000.0,1
214,663,A663,7884000.0,1
215,664,A664,7884000.0,1
216,665,A665,7884000.0,1
217,666,A666,7884000.0,1
218,667,A667,7884000.0,1
219,668,A668,7884000.0,1
220,669,A669,7884000.0,1
221,670,A670,7884000.0,1
222,671,A671,7884000.0,1
223,672,A672,7884000.0,1
224,673,A673,7884000.0,1
225,674,A674,7884000.0,1
226,675,A675,7884000.0,1
227,676,A676,7884000.0,1
228,677,A677,7884000.0,1
229,678,A678,7884000.0,1
230,679,A679,7884000.0,1
231,680,A680,7884000.0,1
232,681,A681,7884000.0,1
233,682,A682,7884000.0,1
234,683,A683,7884000.0,1
235,684,A684,7884000.0,1
236,685,A685,7884000.0,1
237,686,A686,7884000.0,1
238,687,A687,7884000.0,1
239,688,A688,7884000.0,1
240,689,A689,7884000.0,1
241,690,A690,7884000.0,1
242,691,A691,7884000.0,1
243,692,A692,7884000.0,1
244,693,A693,7884000.0,1
245,694,A694,7884000.0,1
246,695,A695,7884000.0,1
247,696,A696,7884000.0,1
248,697,A697,7884000.0,1
249,698,A698,7884000.0,1
250,699,A699,7884000.0,1
251,700,A700,7884000.0,1
252,701,A701,7884000.0,1
253,702,A702,7884000.0,1
254,703,A703,7884000.0,1
255,704,A704,7884000.0,1
256,705,A705,7884000.0,1
257,706,A706,7884000.0,1
258,707,A707,7884000.0,1
259,708,A708,7884000.0,1
260,709,A709,7884000.0,1
261,710,A710,7884000.0,1
262,711,A711,7884000.0,1
263,712,A712,7884000.0,1
264,713,A713,7884000.0,1
265,714,A714,7884000.0,1
266,715,A715,7884000.0,1
267,716,A716,7884000.0,1
268,717,A717,7884000.0,1
269,718,A718,7884000.0,1
270,719,A719,7884000.0,1
271,720,A720,7884000.0,1
272,721,A721,7884000.0,1
273,722,A722,7884000.0,1
274,723,A723,7884000.0,1
275,724,A724,7884000.0,1
276,725,A725,7884000.0,1
277,726,A726,7884000.0,1
278,727,A727,7884000.0,1
279,728,A728,7884000.0,1
280,729,A729,7884000.0,1
281,730,A730,7884000.0,1
282,731,A731,7884000.0,1
283,732,A732,7884000.0,1
284,733,A733,7884000.0,1
285,734,A734,7884000.0,1
286,735,A735,7884000.0,1
287,736,A736,7884000.0,1
288,737,A737,7884000.0,1
289,738,A738,7884000.0,1
290,739,A739,7884000.0,1
291,740,A740,7884000.0,1
292,741,A741,7884000.0,1
293,742,A742,7884000.0,1
294,743,A743,7884000.0,1
295,744,A744,7884000.0,1
296,745,A745,7884000.0,1
297,746,A746,7884000.0,1
298,747,A747,7884000.0,1
299,748,A748,7884000.0,1
300,749,A749,7884000.0,1
301,501,A501,4735200.0,1
302,502,A502,4735200.0,1
303,503,A503,4735200.0,1
304,504,A504,4735200.0,1
305,505,A505,4735200.0,1
306,506,A506,4735200.0,1
307,507,A507,4735200.0,1
308,508,A508,4735200.0,1
309,509,A509,4735200.0,1
310,510,A510,4735200.0,1
311,511,A511,4735200.0,1
312,512,A512,4735200.0,1
313,513,A513,4735200.0,1
314,514,A514,4735200.0,1
315,515,A515,4735200.0,1
316,516,A516,4735200.0,1
317,517,A517,4735200.0,1
318,518,A518,4735200.0,1
319,519,A519,4735200.0,1
320,520,A520,4735200.0,1
321,521,A521,4735200.0,1
322,522,A522,4735200.0,1
323,523,A523,4735200.0,1
324,524,A524,4735200.0,1
325,525,A525,4735200.0,1
326,526,A526,4735200.0,1
327,527,A527,4735200.0,1
328,528,A528,4735200.0,1
329,529,A529,4735200.0,1
330,530,A530,4735200.0,1
331,531,A531,4735200.0,1
332,532,A532,4735200.0,1
333,533,A533,4735200.0,1
334,534,A534,4735200.0,1
335,535,A535,4735200.0,1
336,536,A536,4735200.0,1
337,537,A537,4735200.0,1
338,538,A538,4735200.0,1
339,539,A539,4735200.0,1
340,540,A540,4735200.0,1
341,541,A541,4735200.0,1
342,542,A542,4735200.0,1
343,543,A543,4735200.0,1
344,544,A544,4735200.0,1
345,545,A545,4735200.0,1
346,546,A546,4735200.0,1
347,547,A547,4735200.0,1
348,548,A548,4735200.0,1
349,549,A549,4735200.0,1
350,550,A550,4735200.0,1
351,551,A551,4735200.0,1
352,552,A552,4735200.0,1
353,553,A553,4735200.0,1
354,554,A554,4735200.0,1
355,555,A555,4735200.0,1
356,556,A556,4735200.0,1
357,557,A557,4735200.0,1
358,558,A558,4735200.0,1
359,559,A559,4735200.0,1
360,560,A560,4735200.0,1
361,561,A561,4735200.0,1
362,562,A562,4735200.0,1
363,563,A563,4735200.0,1
364,564,A564,4735200.0,1
365,565,A565,4735200.0,1
366,566,A566,4735200.0,1
367,567,A567,4735200.0,1
368,568,A568,4735200.0,1
369,569,A569,4735200.0,1
370,570,A570,4735200.0,1
371,571,A571,4735200.0,1
372,572,A572,4735200.0,1
373,573,A573,4735200.0,1
374,574,A574,4735200.0,1
375,575,A575,4735200.0,1
376,576,A576,4735200.0,1
377,577,A577,4735200.0,1
378,578,A578,4735200.0,1
379,579,A579,4735200.0,1
380,580,A580,4735200.0,1
381,581,A581,4735200.0,1
382,582,A582,4735200.0,1
383,583,A583,4735200.0,1
384,584,A584,4735200.0,1
385,585,A585,4735200.0,1
386,586,A586,4735200.0,1
387,587,A587,4735200.0,1
388,588,A588,4735200.0,1
389,589,A589,4735200.0,1
390,590,A590,4735200.0,1
391,591,A591,4735200.0,1
392,592,A592,4735200.0,1
393,593,A593,4735200.0,1
394,594,A594,4735200.0,1
395,595,A595,4735200.0,1
396,596,A596,4735200.0,1
397,597,A597,4735200.0,1
398,598,A598,4735200.0,1
399,599,A599,4735200.0,1
400,600,A600,4735200.0,1
401,300,A300,1586400.0,2
402,301,A301,1586400.0,2
403,302,A302,1586400.0,2
404,303,A303,1586400.0,2
405,304,A304,1586400.0,2
406,305,A305,1586400.0,2
407,306,A306,1586400.0,2
