codigo,municipio,tier,anillos_agregacion,anillos_troncal,bw_propio_mbps,bw_downstream_mbps,bw_acumulado_mbps,n_downstream_links,equipo_principal,n_unidades,capex_equipo,capex_chasis,capex_extra,sedes_abast,equipo_cliente_capex,capex_total_nodo
1,A1,acceso,,,34.0,0.0,34.0,0,equipo_cliente,0,0.0,0.0,0.0,0,0.0,0.0
2,A2,acceso,,,34.0,0.0,34.0,0,equipo_cliente,0,0.0,0.0,0.0,0,0.0,0.0
3,A3,acceso,,,34.0,0.0,34.0,0,equipo_cliente,0,0.0,0.0,0.0,0,0.0,0.0
4,A4,acceso,,,34.0,0.0,34.0,0,equipo_cliente,0,0.0,0.0,0.0,0,0.0,0.0
5,A5,acceso,,,34.0,0.0,34.0,0,equipo_cliente,0,0.0,0.0,0.0,0,0.0,0.0
6,A6,acceso,,,34.0,0.0,34.0,0,equipo_cliente,0,0.0,0.0,0.0,0,0.0,0.0
7,A7,acceso,,,34.0,0.0,34.0,0,equipo_cliente,0,0.0,0.0,0.0,0,0.0,0.0
8,A8,acceso,,,34.0,0.0,34.0,0,equipo_cliente,0,0.0,0.0,0.0,0,0.0,0.0
9,A9,acceso,,,34.0,0.0,34.0,0,equipo_cliente,0,0.0,0.0,0.0,0,0.0,0.0
10,A10,acceso,,,34.0,0.0,34.0,0,equipo_cliente,0,0.0,0.0,0.0,0,0.0,0.0
11,A11,acceso,,,34.0,0.0,34.0,0,equipo_cliente,0,0.0,0.0,0.0,0,0.0,0.0
12,A12,acceso,,,34.0,0.0,34.0,0,equipo_cliente,0,0.0,0.0,0.0,0,0.0,0.0
13,A13,acceso,,,34.0,0.0,34.0,0,equipo_cliente,0,0.0,0.0,0.0,0,0.0,0.0
14,A14,acceso,,,34.0,0.0,34.0,0,equipo_cliente,0,0.0,0.0,0.0,0,0.0,0.0
15,A15,acceso,,,34.0,0.0,34.0,0,equipo_cliente,0,0.0,0.0,0.0,0,0.0,0.0
