anio,mant_fibra_eur,mant_equipos_eur,mant_si_eur,opex_local_tecnic_eur,opex_datacenter_eur,rrhh_eur,gastos_generales_eur,derechos_paso_eur,costes_ventas_mayo_eur,total_eur
1,125000,2637620,131881,365000,500000,1300000,700000,1270633,30645,7060779
2,253496,2797320,139866,390978,507500,1471750,710500,1499403,70811,7841625
3,372426,2948473,147424,425895,515112,1699871,721157,1689664,131412,8651435
4,508461,3069171,153459,453824,522839,1829937,731975,1783712,197708,9251086
5,648758,3194184,159709,483345,530682,2016591,742954,1866261,278471,9920956
6,793150,3277260,163863,501368,538642,2154568,754099,1904357,347856,10435163
7,941728,3326418,166321,519823,546722,2350903,765410,1906878,356260,10880464
8,1094585,3376315,168816,540716,554922,2497151,776891,1913369,377897,11300663
9,1251815,3426959,171348,560092,563246,2703582,788545,1918552,395174,11779313
10,1379214,3478364,173918,577183,571695,2858475,800373,1922392,407974,12169589
11,1399902,3530539,176527,585841,580270,2901352,812379,1921666,405552,12314028
12,1420901,3583497,179175,594629,588974,2944872,824564,1921666,405552,12463830
13,1442214,3637250,181862,603548,597809,2989045,836933,1921666,405552,12615880
14,1463848,3691809,184590,612601,606776,3033881,849487,1921666,405552,12770210
15,1485805,3747186,187359,621790,615878,3079389,862229,1921666,405552,12926854
16,1508092,3803393,190170,631117,625116,3125580,875162,1921666,405552,13085849
17,1530714,3860444,193022,640584,634493,3172464,888290,1921666,405552,13247228
18,1553675,3918351,195918,650193,644010,3220051,901614,1921666,405552,13411029
19,1576980,3977126,198856,659946,653670,3268352,915138,1921666,405552,13577286
20,1600634,4036783,201839,669845,663475,3317377,928866,1921666,405552,13746037
