anio,ingresos_eur,opex_eur,ebitda_eur,capex_eur,amortizacion_eur,ebit_eur,resultado_neto_eur,fcl_eur,fcl_acumulado_eur
1,42354446,7060779,35293667,153827763,10255184,25038483,18778862,-118534096,-118534096
2,49980114,7841625,42138489,66319050,14676454,27462035,20596526,-24180561,-142714657
3,56322121,8651435,47670686,58161088,18553860,29116826,21837619,-10490402,-153205059
4,59457079,9251086,50205993,57578561,22392431,27813562,20860172,-7372568,-160577627
5,62208706,9920956,52287750,56798214,26178978,26108772,19581579,-4510464,-165088091
6,63478561,10435163,53043398,53951349,29775735,23267663,17450747,-907951,-165996042
7,63562605,10880464,52682141,52533469,33277966,19404175,14553131,148672,-165847370
8,63778972,11300663,52478309,52539493,36780599,15697710,11773282,-61184,-165908554
9,63951735,11779313,52172422,52533469,40282830,11889592,8917194,-361047,-166269601
10,64079745,12169589,51910156,39925436,42944526,8965630,6724222,11984720,-154284881
11,64055520,12314028,51741492,0,42944526,8796966,6597724,51741492,-102543389
12,64055520,12463830,51591690,0,42944526,8647164,6485373,51591690,-50951699
13,64055520,12615880,51439640,0,42944526,8495114,6371335,51439640,487941
14,64055520,12770210,51285310,0,42944526,8340784,6255588,51285310,51773251
15,64055520,12926854,51128666,0,42944526,8184140,6138105,51128666,102901917
16,64055520,13085849,50969671,0,42944526,8025145,6018859,50969671,153871588
17,64055520,13247228,50808292,0,42944526,7863766,5897824,50808292,204679880
18,64055520,13411029,50644491,0,42944526,7699965,5774974,50644491,255324371
19,64055520,13577286,50478234,0,42944526,7533708,5650281,50478234,305802605
20,64055520,13746037,50309483,0,42944526,7364957,5523718,50309483,356112088
