anio,sedes_abast_activas,sedes_mayorista_activas,ingresos_abast_eur,ingresos_mayo_alta_eur,ingresos_mayo_rec_eur,total_eur
1,3504,30.95,42048000,46431,260015,42354446
2,4106,76.22,49272000,67894,640220,49980114
3,4584,144.29,55008000,102106,1212015,56322121
4,4790,221.57,57480000,115919,1861160,59457079
5,4952,314.85,59424000,139931,2644775,62208706
6,5000,399.07,60000000,126331,3352230,63478561
7,5000,420.32,60000000,31875,3530730,63562605
8,5000,445.4,60000000,37613,3741360,63778972
9,5000,466.65,60000000,31875,3919860,63951735
10,5000,482.8,60000000,24225,4055520,64079745
11,5000,482.8,60000000,0,4055520,64055520
12,5000,482.8,60000000,0,4055520,64055520
13,5000,482.8,60000000,0,4055520,64055520
14,5000,482.8,60000000,0,4055520,64055520
15,5000,482.8,60000000,0,4055520,64055520
16,5000,482.8,60000000,0,4055520,64055520
17,5000,482.8,60000000,0,4055520,64055520
18,5000,482.8,60000000,0,4055520,64055520
19,5000,482.8,60000000,0,4055520,64055520
20,5000,482.8,60000000,0,4055520,64055520
