anillo,tipo,bw_abast_gbps,bw_mayorista_gbps,bw_total_gbps,n_multiplexors,capex_optic_anell,lambdes_necessaries,lambdes_totals,lambdes_lliures
A1,agregacion,101.4,1727.2,1828.6,5,600000.0,183,200,17
A2,agregacion,222.0,1306.21,1528.21,4,480000.0,153,160,7
A3,agregacion,40.2,856.8,897.0,3,360000.0,90,120,30
A4,agregacion,27.7,516.8,544.5,2,240000.0,55,80,25
A5,agregacion,25.2,380.8,406.0,2,240000.0,41,80,39
A6,agregacion,18.2,238.0,256.2,1,120000.0,26,40,14
A7,agregacion,14.8,183.6,198.4,1,120000.0,20,40,20
A8,agregacion,13.0,159.8,172.8,1,120000.0,18,40,22
A9,agregacion,13.5,166.6,180.1,1,120000.0,19,40,21
A10,agregacion,15.0,187.0,202.0,1,120000.0,21,40,19
A11,agregacion,9.0,119.0,128.0,1,120000.0,13,40,27
T1,troncal,64.2,1162.8,1227.0,4,480000.0,123,160,37
T2,troncal,54.2,843.2,897.4,3,360000.0,90,120,30
T3,troncal,58.2,802.4,860.6,3,360000.0,87,120,33
