codigo,municipio,bw_abast_mbps,bw_mayorista_mbps,bw_total_mbps
1,A1,0.0,34.0,34.0
2,A2,0.0,34.0,34.0
3,A3,0.0,34.0,34.0
4,A4,0.0,34.0,34.0
5,A5,0.0,34.0,34.0
6,A6,0.0,34.0,34.0
7,A7,0.0,34.0,34.0
8,A8,0.0,34.0,34.0
9,A9,0.0,34.0,34.0
10,A10,0.0,34.0,34.0
11,A11,0.0,34.0,34.0
12,A12,0.0,34.0,34.0
13,A13,0.0,34.0,34.0
14,A14,0.0,34.0,34.0
15,A15,0.0,34.0,34.0
16,A16,0.0,34.0,34.0
17,A17,0.0,34.0,34.0
18,A18,0.0,34.0,34.0
19,A19,0.0,34.0,34.0
20,A20,0.0,34.0,34.0
21,A21,0.0,34.0,34.0
22,A22,0.0,34.0,34.0
23,A23,0.0,34.0,34.0
24,A24,0.0,34.0,34.0
25,A25,0.0,34.0,34.0
26,A26,0.0,34.0,34.0
27,A27,0.0,34.0,34.0
28,A28,0.0,34.0,34.0
29,A29,0.0,34.0,34.0
30,A30,0.0,34.0,34.0
31,A31,0.0,34.0,34.0
32,A32,0.0,34.0,34.0
33,A33,0.0,34.0,34.0
34,A34,0.0,34.0,34.0
35,A35,0.0,34.0,34.0
36,A36,0.0,34.0,34.0
37,A37,0.0,34.0,34.0
38,A38,0.0,34.0,34.0
39,A39,0.0,34.0,34.0
40,A40,0.0,34.0,34.0
41,A41,0.0,34.0,34.0
42,A42,0.0,34.0,34.0
43,A43,0.0,34.0,34.0
44,A44,0.0,34.0,34.0
45,A45,0.0,34.0,34.0
46,A46,0.0,34.0,34.0
47,A47,0.0,34.0,34.0
48,A48,0.0,34.0,34.0
49,A49,0.0,34.0,34.0
50,A50,0.0,34.0,34.0
51,A51,0.0,34.0,34.0
52,A52,0.0,34.0,34.0
53,A53,0.0,34.0,34.0
54,A54,0.0,34.0,34.0
55,A55,0.0,34.0,34.0
56,A56,0.0,34.0,34.0
57,A57,0.0,34.0,34.0
58,A58,0.0,34.0,34.0
59,A59,0.0,34.0,34.0
60,A60,0.0,34.0,34.0
61,A61,0.0,34.0,34.0
62,A62,0.0,34.0,34.0
63,A63,0.0,34.0,34.0
64,A64,0.0,34.0,34.0
65,A65,0.0,34.0,34.0
66,A66,0.0,34.0,34.0
67,A67,0.0,34.0,34.0
68,A68,0.0,34.0,34.0
69,A69,0.0,34.0,34.0
70,A70,0.0,34.0,34.0
71,A71,0.0,34.0,34.0
72,A72,0.0,34.0,34.0
73,A73,0.0,34.0,34.0
74,A74,0.0,34.0,34.0
75,A75,0.0,34.0,34.0
76,A76,0.0,34.0,34.0
77,A77,0.0,34.0,34.0
78,A78,0.0,34.0,34.0
79,A79,0.0,34.0,34.0
80,A80,0.0,34.0,34.0
81,A81,0.0,34.0,34.0
82,A82,0.0,34.0,34.0
83,A83,0.0,34.0,34.0
84,A84,0.0,34.0,34.0
85,A85,0.0,34.0,34.0
86,A86,0.0,34.0,34.0
87,A87,0.0,34.0,34.0
88,A88,0.0,34.0,34.0
89,A89,0.0,34.0,34.0
90,A90,0.0,34.0,34.0
91,A91,0.0,34.0,34.0
92,A92,0.0,34.0,34.0
93,A93,0.0,34.0,34.0
94,A94,0.0,34.0,34.0
95,A95,0.0,34.0,34.0
96,A96,0.0,34.0,34.0
97,A97,0.0,34.0,34.0
98,A98,0.0,34.0,34.0
99,A99,0.0,34.0,34.0
100,A100,0.0,34.0,34.0
101,A101,0.0,68.0,68.0
102,A102,0.0,68.0,68.0
103,A103,0.0,68.0,68.0
104,A104,0.0,68.0,68.0
105,A105,0.0,68.0,68.0
106,A106,0.0,68.0,68.0
107,A107,0.0,68.0,68.0
108,A108,0.0,68.0,68.0
109,A109,0.0,68.0,68.0
110,A110,0.0,68.0,68.0
111,A111,0.0,68.0,68.0
112,A112,0.0,68.0,68.0
113,A113,0.0,68.0,68.0
114,A114,0.0,68.0,68.0
115,A115,0.0,68.0,68.0
116,A116,0.0,68.0,68.0
117,A117,0.0,68.0,68.0
118,A118,0.0,68.0,68.0
119,A119,0.0,68.0,68.0
120,A120,0.0,68.0,68.0
121,A121,0.0,68.0,68.0
122,A122,0.0,68.0,68.0
123,A123,0.0,68.0,68.0
124,A124,0.0,68.0,68.0
125,A125,0.0,68.0,68.0
126,A126,0.0,68.0,68.0
127,A127,0.0,68.0,68.0
128,A128,0.0,68.0,68.0
129,A129,0.0,68.0,68.0
130,A130,0.0,68.0,68.0
131,A131,0.0,68.0,68.0
132,A132,0.0,68.0,68.0
133,A133,0.0,68.0,68.0
134,A134,0.0,68.0,68.0
135,A135,0.0,68.0,68.0
136,A136,0.0,68.0,68.0
137,A137,0.0,68.0,68.0
138,A138,0.0,68.0,68.0
139,A139,0.0,68.0,68.0
140,A140,0.0,68.0,68.0
141,A141,0.0,68.0,68.0
142,A142,0.0,68.0,68.0
143,A143,0.0,68.0,68.0
144,A144,0.0,68.0,68.0
145,A145,0.0,68.0,68.0
146,A146,0.0,68.0,68.0
147,A147,0.0,68.0,68.0
148,A148,0.0,68.0,68.0
149,A149,0.0,68.0,68.0
150,A150,0.0,68.0,68.0
151,A151,0.0,68.0,68.0
152,A152,0.0,68.0,68.0
