anio,mant_fibra_eur,mant_equipos_eur,mant_si_eur,opex_local_tecnic_eur,opex_datacenter_eur,rrhh_eur,gastos_generales_eur,derechos_paso_eur,costes_ventas_mayo_eur,total_eur
1,87500,2517620,125881,359000,500000,1200000,700000,1198634,6648,6695284
2,180250,2678227,133911,384190,515000,1390500,721000,1352213,14576,7369867
3,278221,2854489,142724,413963,530450,1591350,742630,1521729,25229,8100785
4,381635,3025597,151280,449111,546364,1748363,764909,1653420,39402,8760080
5,491566,3155522,157776,473614,562754,1913365,787856,1692443,51876,9286772
6,607749,3342373,167119,513790,579637,2086693,811492,1779208,72292,9960353
7,729864,3492496,174625,543771,597026,2268699,835837,1809527,89357,10541202
8,859374,3626541,181327,568694,614937,2398254,860912,1826924,105346,11042309
9,995998,3746536,187327,594622,633385,2596879,886739,1836808,122692,11600985
10,1140046,3858932,192947,621594,652387,2805262,913341,1842302,141008,12167819
11,1291840,3974700,198735,652068,671958,3023812,940741,1843487,144956,12742297
12,1451715,4093941,204697,681320,692117,3183738,968964,1844875,149584,13270951
13,1620021,4216759,210838,711740,712880,3421826,998033,1846330,154435,13892862
14,1771419,4343262,217163,741316,734267,3671334,1027974,1847443,158143,14512320
15,1824561,4473560,223678,763555,756295,3781474,1058813,1847235,157450,14886621
16,1879298,4607767,230388,786462,778984,3894919,1090577,1847235,157450,15273079
17,1935677,4746000,237300,810056,802353,4011766,1123295,1847235,157450,15671131
18,1993747,4888380,244419,834357,826424,4132119,1156993,1847235,157450,16081124
19,2053560,5035031,251752,859388,851217,4256083,1191703,1847235,157450,16503417
20,2115167,5186082,259304,885170,876753,4383765,1227454,1847235,157450,16938379
