codigo,municipio,hogares_teoricos,cuota_operadores,penetracion_fibra,clientes_mayorista,bw_mayorista_mbps
1,A1,20.0,0.3,0.55,3.3000000000000003,22.0
2,A2,20.0,0.3,0.55,3.3000000000000003,22.0
3,A3,20.0,0.3,0.55,3.3000000000000003,22.0
4,A4,20.0,0.3,0.55,3.3000000000000003,22.0
5,A5,20.0,0.3,0.55,3.3000000000000003,22.0
6,A6,20.0,0.3,0.55,3.3000000000000003,22.0
7,A7,20.0,0.3,0.55,3.3000000000000003,22.0
8,A8,20.0,0.3,0.55,3.3000000000000003,22.0
9,A9,20.0,0.3,0.55,3.3000000000000003,22.0
10,A10,20.0,0.3,0.55,3.3000000000000003,22.0
11,A11,20.0,0.3,0.55,3.3000000000000003,22.0
12,A12,20.0,0.3,0.55,3.3000000000000003,22.0
13,A13,20.0,0.3,0.55,3.3000000000000003,22.0
14,A14,20.0,0.3,0.55,3.3000000000000003,22.0
15,A15,20.0,0.3,0.55,3.3000000000000003,22.0
16,A16,20.0,0.3,0.55,3.3000000000000003,22.0
17,A17,20.0,0.3,0.55,3.3000000000000003,22.0
18,A18,20.0,0.3,0.55,3.3000000000000003,22.0
19,A19,20.0,0.3,0.55,3.3000000000000003,22.0
20,A20,20.0,0.3,0.55,3.3000000000000003,22.0
21,A21,20.0,0.3,0.55,3.3000000000000003,22.0
22,A22,20.0,0.3,0.55,3.3000000000000003,22.0
23,A23,20.0,0.3,0.55,3.3000000000000003,22.0
24,A24,20.0,0.3,0.55,3.3000000000000003,22.0
25,A25,20.0,0.3,0.55,3.3000000000000003,22.0
26,A26,20.0,0.3,0.55,3.3000000000000003,22.0
27,A27,20.0,0.3,0.55,3.3000000000000003,22.0
28,A28,20.0,0.3,0.55,3.3000000000000003,22.0
29,A29,20.0,0.3,0.55,3.3000000000000003,22.0
30,A30,20.0,0.3,0.55,3.3000000000000003,22.0
31,A31,20.0,0.3,0.55,3.3000000000000003,22.0
32,A32,20.0,0.3,0.55,3.3000000000000003,22.0
33,A33,20.0,0.3,0.55,3.3000000000000003,22.0
34,A34,20.0,0.3,0.55,3.3000000000000003,22.0
35,A35,20.0,0.3,0.55,3.3000000000000003,22.0
36,A36,20.0,0.3,0.55,3.3000000000000003,22.0
37,A37,20.0,0.3,0.55,3.3000000000000003,22.0
38,A38,20.0,0.3,0.55,3.3000000000000003,22.0
39,A39,20.0,0.3,0.55,3.3000000000000003,22.0
40,A40,20.0,0.3,0.55,3.3000000000000003,22.0
41,A41,20.0,0.3,0.55,3.3000000000000003,22.0
42,A42,20.0,0.3,0.55,3.3000000000000003,22.0
43,A43,20.0,0.3,0.55,3.3000000000000003,22.0
44,A44,20.0,0.3,0.55,3.3000000000000003,22.0
45,A45,20.0,0.3,0.55,3.3000000000000003,22.0
46,A46,20.0,0.3,0.55,3.3000000000000003,22.0
47,A47,20.0,0.3,0.55,3.3000000000000003,22.0
48,A48,20.0,0.3,0.55,3.3000000000000003,22.0
49,A49,20.0,0.3,0.55,3.3000000000000003,22.0
50,A50,20.0,0.3,0.55,3.3000000000000003,22.0
51,A51,20.0,0.3,0.55,3.3000000000000003,22.0
52,A52,20.0,0.3,0.55,3.3000000000000003,22.0
53,A53,20.0,0.3,0.55,3.3000000000000003,22.0
54,A54,20.0,0.3,0.55,3.3000000000000003,22.0
55,A55,20.0,0.3,0.55,3.3000000000000003,22.0
56,A56,20.0,0.3,0.55,3.3000000000000003,22.0
57,A57,20.0,0.3,0.55,3.3000000000000003,22.0
58,A58,20.0,0.3,0.55,3.3000000000000003,22.0
59,A59,20.0,0.3,0.55,3.3000000000000003,22.0
60,A60,20.0,0.3,0.55,3.3000000000000003,22.0
61,A61,20.0,0.3,0.55,3.3000000000000003,22.0
62,A62,20.0,0.3,0.55,3.3000000000000003,22.0
63,A63,20.0,0.3,0.55,3.3000000000000003,22.0
64,A64,20.0,0.3,0.55,3.3000000000000003,22.0
65,A65,20.0,0.3,0.55,3.3000000000000003,22.0
66,A66,20.0,0.3,0.55,3.3000000000000003,22.0
67,A67,20.0,0.3,0.55,3.3000000000000003,22.0
68,A68,20.0,0.3,0.55,3.3000000000000003,22.0
69,A69,20.0,0.3,0.55,3.3000000000000003,22.0
70,A70,20.0,0.3,0.55,3.3000000000000003,22.0
71,A71,20.0,0.3,0.55,3.3000000000000003,22.0
72,A72,20.0,0.3,0.55,3.3000000000000003,22.0
73,A73,20.0,0.3,0.55,3.3000000000000003,22.0
74,A74,20.0,0.3,0.55,3.3000000000000003,22.0
75,A75,20.0,0.3,0.55,3.3000000000000003,22.0
76,A76,20.0,0.3,0.55,3.3000000000000003,22.0
77,A77,20.0,0.3,0.55,3.3000000000000003,22.0
78,A78,20.0,0.3,0.55,3.3000000000000003,22.0
